"","idHash","date","greek","athlete","financialAid","gender","geography","highschool","legacy","major","orientation","race","year","school","q5","q1","q3","q6","q2","q7","q8","q4","ipedsId","caseid","weight"
"28","b0c075cc6551bb4ec18bb3e89cdfef837805bd571a86bf97e4e0901e02733757",2019-03-29 03:19:57,1,3,2,1,4,2,1,2729,2,7,1,119,1,2,1,4,9,1,1,2,100751,28,0.614393870441535
"29","7b9f9261b2aad6809c3109346d59b10260ae2cee067f4583a793f55d53aa3d8a",2019-03-29 03:20:24,4,3,1,3,3,1,2,2333,4,7,4,595,4,1,2,3,3,4,2,1,179566,29,0.427091115591879
"30","51b86e09e4417ba5b7c8c2e0c6671a99a2285dcabaebc8fe221339188d6d1c28",2019-03-29 03:20:29,4,3,1,2,1,1,2,1828,4,7,2,69,4,1,2,3,1,4,2,1,231174,30,0.954341333290293
"31","b281f51fa32c57a276b5ee9071169bb665977f6a2f329e4b9b2ed08e7ebf3d1f",2019-03-29 03:20:30,4,3,1,1,2,1,2,27,2,7,4,248,3,1,1,3,1,2,1,2,129428,31,0.949957159916681
"32","30da6f79d3fc71742803174c61f7c23d6bc729d52cf0be00e8fa8876ce7ed3fa",2019-03-29 03:20:59,4,1,1,1,2,1,2,27,2,7,4,61,3,1,2,3,1,3,1,1,196079,32,0.949957159916681
"33","f0c40fe7d49c855d7c2364dd0820c0705635cd9d3c82d0d06cf275ce078240f5",2019-03-29 03:21:27,4,2,2,1,7,2,2,143467,2,1,3,10,3,2,2,3,9,3,1,2,215062,33,2.73459471934377
"34","30d16f7a41b582bc610c9f31c7c2b1b08e3d9c08a5c2d9c3a25e8283ce618e45",2019-03-29 03:21:47,4,3,1,1,4,1,2,70,2,6,4,172,2,1,1,3,19,2,1,2,197869,34,0.58952331981481
"35","7094045346d7372eea637cbb38113fcb4f0b523c12353e880e5e8af2507e3ae3",2019-03-29 03:21:53,4,3,2,2,3,1,2,18,3,7,3,175,4,1,1,3,9,4,2,1,179159,35,1.02060044958806
"36","f2d5e9d9ea8d7186d24a8ba80ab00bc4794eea49d32c33297b945aa06c8085fa",2019-03-29 03:21:56,4,3,1,2,1,1,2,27,2,4,4,127,4,1,2,5,1,4,2,1,212054,36,0.818197715592869
"37","dd0f904113099967e6fcf7fd1c16cd35280ee1e938e3af9365a4ee88dda41399",2019-03-29 03:22:00,4,3,2,2,4,5,2,7268,2,7,2,407,4,1,2,2,1,4,1,1,227216,37,0.954341333290293
"38","ecff6c2b7817208b9aa80edfb75d04952e501e4df2d6adce05e8ec471920b98f",2019-03-29 03:22:04,1,3,2,1,5,1,2,29,2,7,2,80,4,1,2,3,1,4,2,1,182670,38,0.671944248215428
"39","0529850af85dc7f6239421c94fd41e6e5c0af5292823b8f066f524fe2defdacd",2019-03-29 03:22:05,4,3,2,2,4,1,2,284558,3,7,1,97,4,2,2,4,9,4,1,3,228723,39,0.872604337398202
"40","e56266f9cff4a236239c22b91fac6f8dcc550d144bd21946d545ae4ffd1f74b9",2019-03-29 03:22:06,4,3,2,1,5,1,2,69,2,7,2,113,4,1,2,2,10,4,2,1,NA,40,0.671944248215428
"41","55444c7b37c1a25e8e0d87c19eb0dcbfc362b30a14329e587bb30d351303f1af",2019-03-29 03:22:29,1,2,1,1,5,1,2,595751,2,2,3,304,3,1,1,3,9,3,2,1,NA,41,3.00002917592654
"42","cfacf90dfee07acd035197d8f589ee96ff699d30376b827fd654b32cad182c24",2019-03-29 03:22:52,4,3,2,2,5,2,2,3955,2,6,1,10,4,1,2,3,4,3,1,1,215062,42,0.541519794337787
"43","32b0a38c07613aeab83d46cdd29208b141a38f34d6dbaaec3023794ca8d635cb",2019-03-29 03:23:23,4,3,1,2,3,1,2,4458,1,7,1,463,4,1,2,1,3,4,2,1,179557,43,0.872604337398202
"44","04745a0d8a0c9ffc5477bbe9e897e26045078f9069b3175a01ce4830befe063d",2019-03-29 03:23:42,1,2,2,1,3,2,2,27,2,7,2,189,2,1,2,3,9,2,2,2,178396,44,0.671944248215428
"45","bb281290a14d5a3c3fdaef05612639844bef5d2dfd120cadc3a6790f199574da",2019-03-29 03:23:46,4,3,1,2,3,1,1,52,2,7,4,401,2,1,2,2,9,2,1,2,105330,45,1.34919434904202
"46","6399ee35c5dcb7d5ddb58b445d4b38c798905b5b3f435919ebd957718fa56d13",2019-03-29 03:23:48,4,3,1,1,8,1,2,45,2,7,2,92,4,1,1,1,1,4,2,1,126614,46,0.671944248215428
"47","e8263f8734535c766770aa666b1867b011e789fa06c45c5947788043a43a12e3",2019-03-29 03:24:15,4,3,1,1,2,1,2,47,2,7,3,172,2,2,1,5,2,3,1,2,197869,47,0.718596772354376
"48","23f34fd788527d60021a750272fc036cd7173943685a78ca03eedbf343307d61",2019-03-29 03:24:19,4,3,1,2,3,1,2,476766,2,7,4,355,3,1,2,2,9,2,1,1,204006,48,1.34919434904202
